"","date","state","new_cases_norm","new_deaths_norm"
"252",2020-03-01,"Washington",0.0928925149998189,0.0265407185713768
"253",2020-03-01,"Wisconsin",0,0
"254",2020-03-02,"Arizona",0,0
"255",2020-03-02,"California",0.0126399734863916,0
"256",2020-03-02,"Florida",0,0
"257",2020-03-02,"Georgia",0,0
"258",2020-03-02,"Illinois",0.00784862821676027,0
"259",2020-03-02,"Massachusetts",0.0144882412709433,0
"260",2020-03-02,"Nebraska",0,0
"261",2020-03-02,"New Hampshire",0,0
"262",2020-03-02,"New York",0,0
"263",2020-03-02,"Oregon",0,0
"264",2020-03-02,"Rhode Island",0,0
"265",2020-03-02,"Texas",0,0
"266",2020-03-02,"Utah",0,0
"267",2020-03-02,"Washington",0.0796221557141304,0.0398110778570652
"268",2020-03-02,"Wisconsin",0,0
"269",2020-03-03,"Arizona",0.0139438003493201,0
"270",2020-03-03,"California",0.0176959628809483,0
"271",2020-03-03,"Florida",0.00469498446547015,0
"272",2020-03-03,"Georgia",0,0
"273",2020-03-03,"Illinois",0,0
"274",2020-03-03,"Massachusetts",0,0
"275",2020-03-03,"Nebraska",0,0
"276",2020-03-03,"New Hampshire",0.0737214126791983,0
"277",2020-03-03,"New York",0.00511712877495067,0
"278",2020-03-03,"North Carolina",0,0
"279",2020-03-03,"Oregon",0,0
"280",2020-03-03,"Rhode Island",0,0
"281",2020-03-03,"Texas",0,0
"282",2020-03-03,"Utah",0,0
"283",2020-03-03,"Washington",0.119433233571196,0.0530814371427536
"284",2020-03-03,"Wisconsin",0,0
"285",2020-03-04,"Arizona",0,0
"286",2020-03-04,"California",0.0252799469727832,0.00252799469727832
"287",2020-03-04,"Florida",0,0
"288",2020-03-04,"Georgia",0,0
"289",2020-03-04,"Illinois",0,0
"290",2020-03-04,"Massachusetts",0,0
"291",2020-03-04,"Nebraska",0,0
"292",2020-03-04,"New Hampshire",0,0
"293",2020-03-04,"New Jersey",0,0
"294",2020-03-04,"New York",0.046054158974556,0
"295",2020-03-04,"North Carolina",0,0
"296",2020-03-04,"Oregon",0,0
"297",2020-03-04,"Rhode Island",0,0
"298",2020-03-04,"Texas",0.00348409657985401,0
"299",2020-03-04,"Utah",0,0
"300",2020-03-04,"Washington",0.199055389285326,0.0132703592856884
"301",2020-03-04,"Wisconsin",0,0
"302",2020-03-05,"Arizona",0,0
"303",2020-03-05,"California",0.0303359363673399,0
"304",2020-03-05,"Colorado",0,0
"305",2020-03-05,"Florida",0.00469498446547015,0
"306",2020-03-05,"Georgia",0,0
"307",2020-03-05,"Illinois",0.00784862821676027,0
"308",2020-03-05,"Maryland",0,0
"309",2020-03-05,"Massachusetts",0.0144882412709433,0
"310",2020-03-05,"Nebraska",0,0
"311",2020-03-05,"Nevada",0,0
"312",2020-03-05,"New Hampshire",0,0
"313",2020-03-05,"New Jersey",0.011225209125646,0
"314",2020-03-05,"New York",0.0562884165244574,0
"315",2020-03-05,"North Carolina",0,0
