"";"state";"state_abbreviation";"state_fips_code";"closed_k_12_public_schools";"closed_day_cares";"banned_visitors_to_nursing_homes";"closed_other_non_essential_businesses";"closed_restaurants";"closed_gyms";"closed_movie_theaters";"closed_bars";"closed_casinos";"mention_of_tribal_casinos";"closed_businesses_overnight";"began_to_reopen_businesses_statewide";"reopened_restaurants";"initially_reopened_restaurants_for_outdoor_dining_only";"reopened_gyms";"reopened_movie_theaters";"reopened_hair_salons_barber_shops";"reopened_religious_gatherings";"reopened_other_non_essential_retail";"reopened_bars";"reopened_child_care";"reopened_casinos";"allowed_businesses_to_reopen_overnight";"began_to_re_close_bars";"closed_bars_x2";"closed_movie_theaters_x2";"closed_gyms_x2";"closed_hair_salons_barber_shops_x2";"closed_restaurants_x2";"closed_casinos_x2";"reopened_restaurants_x2";"reopened_bars_x2";"reopened_gyms_x2";"reopened_movie_theaters_x2";"reopened_casinos_x2";"closed_bars_x3";"closed_restaurants_x3";"reopened_restaurants_x3"
"22";"Massachusetts";"MA";25;2020-03-17;2020-03-23;2020-03-16;2020-03-24;2020-03-17;2020-03-24;2020-03-24;2020-03-17;2020-03-14;0;2020-11-06;2020-05-18;2020-06-08;1;2020-07-13;2020-07-13;2020-05-25;2020-05-18;2020-06-08;NA;2020-06-08;2020-07-06;2021-01-25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";"Michigan";"MI";26;2020-03-16;2020-03-24;2020-03-14;2020-03-24;2020-03-16;2020-03-16;2020-03-16;2020-03-16;2020-03-16;0;2021-02-01;2020-05-26;2020-06-08;0;2020-09-09;2020-10-09;2020-06-15;NA;2020-06-04;2020-06-08;2020-06-08;2020-08-05;NA;2020-07-01;2020-07-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"Minnesota";"MN";27;2020-03-18;NA;NA;2020-03-28;2020-03-17;2020-03-17;2020-03-17;2020-03-17;NA;0;2020-11-13;2020-04-27;2020-06-01;1;2020-06-10;2020-06-10;2020-06-01;2020-05-18;2020-05-18;2020-06-10;NA;NA;NA;2020-11-21;2020-11-21;2020-11-21;2020-11-21;NA;2020-11-21;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"Mississippi";"MS";28;2020-03-20;NA;2020-03-24;2020-04-03;2020-04-03;2020-04-03;2020-04-03;2020-04-03;2020-03-16;0;2020-05-07;2020-04-27;2020-05-07;0;2020-05-11;2020-06-01;2020-05-11;NA;2020-04-27;2020-06-01;NA;2020-05-21;2020-06-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";"Missouri";"MO";29;2020-03-23;NA;2020-03-23;2020-04-03;2020-03-23;2020-04-03;2020-04-03;2020-03-23;2020-03-17;0;NA;2020-05-04;2020-05-04;0;2020-05-04;NA;2020-05-04;2020-05-27;2020-05-04;2020-05-04;NA;2020-06-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"Montana";"MT";30;2020-03-16;NA;2020-03-15;2020-03-28;2020-03-20;2020-03-20;2020-03-20;2020-03-20;2020-03-20;0;2020-11-20;2020-04-27;2020-05-04;0;2020-05-15;2020-05-15;2020-04-27;2020-04-26;2020-04-27;2020-05-04;NA;2020-05-04;2021-01-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"Nebraska";"NE";31;2020-04-03;NA;NA;2020-04-09;2020-04-03;2020-04-03;2020-04-09;2020-04-03;NA;0;NA;2020-06-01;2020-06-01;0;NA;2020-06-22;2020-06-01;2020-05-04;NA;2020-06-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"Nevada";"NV";32;2020-03-16;NA;NA;2020-03-21;2020-03-21;2020-03-21;2020-03-21;2020-03-21;2020-03-17;0;NA;2020-05-09;2020-05-09;0;2020-05-29;2020-05-29;2020-05-09;2020-05-29;2020-05-09;2020-05-29;NA;2020-06-04;NA;2020-07-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"New Hampshire";"NH";33;2020-03-16;NA;2020-03-16;2020-03-28;2020-03-16;2020-03-28;2020-03-28;2020-03-16;NA;0;NA;2020-05-11;2020-05-18;0;2020-06-01;2020-06-29;2020-05-11;2020-05-29;2020-05-11;2020-06-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"New Jersey";"NJ";34;2020-03-18;2020-03-18;2020-06-19;2020-03-21;2020-03-16;2020-03-16;2020-03-16;2020-03-16;2020-03-16;0;2020-11-10;2020-05-18;2020-06-15;1;2020-09-01;2020-09-04;2020-06-22;2020-06-09;2020-06-15;2020-06-15;2020-06-15;2020-06-26;2021-02-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"New Mexico";"NM";35;2020-03-16;NA;2020-03-13;2020-03-24;2020-03-20;2020-03-19;2020-03-19;2020-03-19;2020-03-16;1;2020-10-16;2020-05-16;2020-05-27;1;2020-06-01;NA;2020-06-01;2020-05-16;2020-05-16;NA;NA;NA;2020-11-13;NA;NA;NA;2020-11-16;2020-11-16;2020-07-13;NA;2020-08-29;NA;NA;NA;NA;NA;2020-11-16;2020-12-02
"33";"New York";"NY";36;2020-03-18;NA;2020-03-13;2020-03-22;2020-03-17;2020-03-16;2020-03-16;2020-03-16;2020-03-16;1;2020-11-13;2020-06-08;2020-06-22;1;NA;NA;2020-06-22;2020-06-22;2020-06-08;NA;NA;2020-09-09;2021-03-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";"North Carolina";"NC";37;2020-03-16;NA;2020-03-25;2020-03-30;2020-03-18;2020-03-25;2020-03-25;2020-03-17;NA;0;2020-12-11;2020-05-08;2020-05-22;0;2020-09-04;NA;2020-05-22;2020-05-16;2020-05-08;NA;NA;NA;2021-02-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"North Dakota";"ND";38;2020-03-16;NA;2020-04-06;2020-03-20;2020-03-21;2020-03-20;2020-03-20;2020-03-20;NA;0;2020-11-16;2020-05-01;2020-05-01;0;2020-05-01;2020-05-01;2020-05-01;NA;2020-05-01;2020-05-01;NA;NA;2020-12-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"Ohio";"OH";39;2020-03-17;2020-03-26;2020-03-11;2020-03-24;2020-03-16;2020-03-17;2020-03-17;2020-03-15;NA;0;2020-11-19;2020-05-04;2020-05-15;1;2020-05-22;2020-06-10;2020-05-15;NA;2020-05-12;2020-05-15;2020-05-31;NA;2021-02-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"Oklahoma";"OK";40;2020-03-17;NA;2020-03-24;2020-04-01;2020-04-01;2020-04-01;2020-04-01;2020-04-01;NA;0;2020-11-19;2020-04-24;2020-05-01;0;2020-05-01;2020-05-01;2020-04-24;2020-05-01;2020-04-24;2020-05-15;NA;NA;2021-01-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"Oregon";"OR";41;2020-03-16;2020-03-25;2020-03-16;2020-03-23;2020-03-18;2020-03-24;2020-03-24;2020-03-17;NA;0;NA;2020-05-15;2020-06-19;0;2020-06-19;NA;2020-06-19;2020-05-15;2020-05-15;2020-06-19;2020-05-16;NA;NA;2020-11-18;2020-11-18;NA;2020-11-18;NA;2020-11-18;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"Pennsylvania";"PA";42;2020-03-16;2020-03-17;2020-03-17;2020-03-21;2020-03-18;2020-03-21;2020-03-21;2020-03-18;2020-03-17;0;NA;2020-06-05;2020-06-05;1;2020-07-03;2020-07-03;2020-07-03;NA;2020-06-05;2020-06-05;2020-06-05;2020-06-09;NA;2020-07-16;2020-07-16;2020-12-12;2020-12-12;NA;2020-12-12;2020-12-12;2021-01-04;NA;2021-01-04;2021-01-04;2021-01-04;NA;NA;NA
"40";"Rhode Island";"RI";44;NA;2020-03-16;2020-03-13;2020-03-30;2020-03-18;2020-03-23;2020-03-23;2020-03-17;2020-03-22;0;2020-11-08;2020-05-09;2020-05-18;1;2020-06-01;2020-06-30;2020-06-01;2020-05-30;2020-05-09;2020-06-01;2020-06-01;2020-06-08;2021-01-29;2020-11-30;NA;2020-11-30;2020-11-30;NA;NA;2020-11-30;NA;NA;2020-12-21;2020-12-21;2020-12-21;NA;NA;NA
"41";"South Carolina";"SC";45;2020-03-16;NA;2020-03-15;2020-04-01;2020-03-19;2020-04-01;2020-04-01;2020-03-18;2020-04-01;0;NA;2020-04-20;2020-05-04;1;2020-05-18;2020-08-03;2020-05-18;NA;2020-04-20;2020-05-04;NA;2020-05-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"42";"South Dakota";"SD";46;2020-03-16;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";"Tennessee";"TN";47;2020-03-20;NA;2020-03-23;2020-04-01;2020-03-24;2020-03-23;2020-03-23;2020-03-23;NA;0;NA;2020-04-27;2020-04-27;0;2020-05-01;2020-05-22;2020-05-06;NA;2020-04-27;2020-05-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";"Texas";"TX";48;2020-03-21;NA;2020-03-21;2020-04-02;2020-03-21;2020-03-21;2020-04-02;2020-03-21;NA;0;NA;2020-05-01;2020-05-01;0;2020-05-18;2020-05-01;2020-05-08;NA;2020-05-01;2020-05-29;NA;NA;NA;2020-06-26;2020-06-26;NA;NA;NA;NA;NA;NA;2020-10-14;NA;NA;NA;NA;NA;NA
"45";"Utah";"UT";49;2020-03-16;NA;NA;2020-03-27;2020-03-20;2020-03-27;2020-03-27;2020-03-19;NA;0;NA;20-05-01;2020-05-01;0;2020-05-01;2020-05-01;2020-05-01;2020-05-06;2020-05-01;2020-05-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"Vermont";"VT";50;2020-03-18;2020-03-18;2020-03-13;2020-03-25;2020-03-18;2020-03-23;2020-03-25;2020-03-17;NA;0;2020-11-14;2020-04-27;2020-05-22;1;2020-06-01;2020-06-01;2020-05-29;2020-05-23;2020-04-27;2020-05-22;2020-06-01;NA;2021-04-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"47";"Virginia";"VA";51;2020-03-16;NA;NA;2020-03-25;2020-03-26;2020-03-25;2020-03-25;2020-03-25;NA;0;2020-12-14;2020-05-29;2020-05-29;1;2020-06-12;2020-07-01;2020-05-29;2020-05-29;2020-05-29;2020-05-29;NA;NA;2021-02-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"48";"Washington";"WA";53;2020-03-17;NA;2020-03-16;2020-03-25;2020-03-16;2020-03-16;2020-03-16;2020-03-17;NA;0;NA;2020-06-01;2020-07-03;0;2020-08-27;NA;2020-07-03;2020-06-01;2020-07-03;2020-07-03;NA;NA;NA;NA;2020-11-18;NA;2020-11-16;NA;2020-11-18;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";"West Virginia";"WV";54;2020-03-16;2020-03-26;2020-08-13;2020-03-24;2020-03-19;2020-03-19;2020-03-24;2020-03-18;2020-03-18;0;NA;2020-05-04;2020-05-04;1;2020-05-18;2020-06-05;2020-05-04;NA;2020-05-21;2020-05-26;2020-04-30;2020-06-05;NA;2020-07-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"50";"Wisconsin";"WI";55;2020-03-18;NA;NA;2020-03-25;2020-03-18;2020-03-25;2020-03-25;2020-03-17;NA;0;NA;2020-05-11;2020-05-13;0;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-11;2020-05-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"51";"Wyoming";"WY";56;2020-03-19;2020-03-19;NA;2020-03-19;2020-03-19;2020-03-19;2020-03-19;2020-03-19;NA;0;2020-12-09;2020-05-01;2020-05-15;0;2020-05-01;2020-05-15;2020-05-01;2020-05-15;NA;2020-05-15;2020-05-01;NA;2021-01-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
